City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,torbay,47.6666,-52.7314,2.54,64,75,15.43,CA,1675018512
163,ekhabi,53.5102,142.9671,-26.83,91,42,6.98,RU,1675018513
164,mar del plata,-38.0023,-57.5575,27.68,70,0,6.69,AR,1675018513
165,lebu,-37.6167,-73.65,18.79,79,0,6.97,CL,1675018514
166,ganzhou,28.8184,115.4327,4.45,46,0,0.98,CN,1675018514
167,durban,-29.8579,31.0292,19.51,79,100,4.19,ZA,1675018289
168,dingle,10.9995,122.6711,23.8,93,100,4.6,PH,1675018515
169,lavrentiya,65.5833,-171.0,-8.02,96,92,5.2,RU,1675018257
170,okha,53.5739,142.9478,-26.92,92,49,7.13,RU,1675018516
171,svetlogorsk,52.6333,29.7333,-2.75,81,100,3.79,BY,1675018517
172,broome,42.2506,-75.833,7.23,76,100,2.68,US,1675018518
173,alora,36.8236,-4.7058,9.69,87,40,0.99,ES,1675018518
174,weston,26.1004,-80.3998,27.79,65,75,7.2,US,1675017722
175,waipawa,-41.4122,175.5153,17.82,93,100,1.9,NZ,1675018520
176,rio grande,-32.035,-52.0986,31.06,70,23,7.97,BR,1675018410
177,ilulissat,69.2167,-51.1,-18.07,67,100,4.51,GL,1675018521
178,ngama,11.7833,17.1667,29.49,11,12,4.13,TD,1675018522
179,nassau,40.7507,-73.5829,11.16,70,100,3.58,US,1675018523
180,abha,18.2164,42.5053,13.9,82,0,3.09,SA,1675018524
181,north myrtle beach,33.816,-78.68,19.63,69,82,1.34,US,1675018525
182,tembisa,-25.9964,28.2268,20.62,95,95,5.74,ZA,1675018525
183,mwense,-10.3845,28.698,18.32,91,10,1.88,ZM,1675018526
184,nicoya,10.1483,-85.452,33.5,35,100,4.61,CR,1675018526
185,mantena,-18.7817,-40.9803,27.57,73,92,2.99,BR,1675018527
186,margate,51.3813,1.3862,7.17,90,100,2.24,GB,1675018528
187,iles,0.9749,-77.5274,17.32,43,100,2.05,CO,1675018528
188,tilichiki,60.4667,166.1,-0.22,87,100,17.46,RU,1675018529
189,birao,10.2849,22.7882,27.92,14,100,2.83,CF,1675018530
190,hanmer springs,-42.5167,172.8167,19.12,77,99,1.81,NZ,1675018530
191,constitucion,-35.3333,-72.4167,21.76,63,39,6.01,CL,1675018531
192,sobolevo,54.4299,31.8996,-3.23,93,100,4.86,RU,1675018531
193,yeppoon,-23.1333,150.7333,21.88,82,100,1.61,AU,1675018532
194,karaton,-6.3424,106.1045,22.53,97,100,0.61,ID,1675018532
195,hopfgarten,50.9833,11.2667,-0.87,79,100,0.45,DE,1675018533
196,viedma,-40.8135,-62.9967,38.83,12,0,7.57,AR,1675018533
197,palmer,42.1584,-72.3287,11.11,62,100,4.96,US,1675018534
